"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor","Characteristics"
"D1","BAS40BRW","Package_TO_SOT_SMD:SOT-363_SC-70-6_Handsoldering","https://www.diodes.com/assets/Datasheets/ds30156.pdf","","",""
"D2","S1B","Diode_SMD:D_SMA_Handsoldering","~","","",""
"D3","S1B","Diode_SMD:D_SMA_Handsoldering","~","","",""
"D4","17-21SYGC","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","Everlight","",""
"J1","Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical_SMD","~","","",""
"J2","Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical_SMD","~","","",""
"Q1","BC847B","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657","","",""
"R1","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","1 %"
"R2","150","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","1 %"
"SW1","JS102011JCQN","mibe:SW_DPDT_CK_JS202011JCQN","~","","",""
